publishedAt,title,trade_day,sentiment_score
2024-11-21 19:45:03+00:00,"Nvidia Shares Dip as Q3 Results Beat Expectations, but Guidance Disappoints After reporting fiscal third-quarter earnings that topped expectations, Nvidia (NVDA, Financials) shares dipped in extended trading on Wednesday; investors wanted more action from the chip giant.
Nv Nvidia noted that demand for Blackwell chips will exceed supply for several quarters into fiscal 2026",2024-11-22,-0.1901
2024-11-21 19:46:27+00:00,Intel Corporation (INTC) Secures Major Grants Amid US Push to Boost Chip Production  ,2024-11-22,0.7346
2024-11-25 09:15:29+00:00,"Intel Corporation (INTC) to Sell Folsom Campus as Part of Cost-Cutting Amid Struggles to Regain Chip Leadership We recently compiled a list of the 14 AI Stocks on Wall Street's Radar. In this article, we are going to take a look at where Intel Corporation (NASDAQ:INTC) stands against the other AI stocks that a We recently compiled a list of the 14 AI Stocks on Wall Street’s Radar. In this article, we are going to take a look at where Intel Corporation (NASDAQ:INTC)...",2024-11-25,-0.3612
2024-11-25 15:40:00+00:00,"US Government to Trim Intel Chips Funds: Will it Hurt INTC Stock? <ul><li>The US government is considering reducing Intel's federal chips grant under the CHIPS and Science Act from $8.5 billion to less than $8 billion, reportedly due to Intel's $3 billion contract  With the government deciding to reduce the funding, it appears Intel has fallen down the pecking order.",2024-11-25,-0.5267
2024-11-27 15:03:57+00:00,"49-Year-Old Makes $5,180 a Month in Dividends With 'Helps Me Sleep at Night' Portfolio – Top 10 Stocks You Can't Miss Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.Investors invest in dividends to increase wealth and balance out their growth portfolios to hedge a Investors invest in dividends to increase wealth and balance out their growth portfolios to hedge against risks. Dividend stocks have proved their mettle...",2024-11-27,0.9512
2024-11-28 13:36:31+00:00,Intel (INTC) Faces Uncertainty: QUALCOMM Walks Away from Acquisition Deal  ,2024-11-28,-0.34
2024-12-02 14:00:14+00:00,"Intel CEO Pat Gelsinger retires after tumultuous tenure leading the chip giant Intel (INTC) announced Monday that CEO Pat Gelsinger retired on Sunday, stepping down from his post leading the company and a spot on the company's board of directors.
Gelsinger joined the company i Intel CEO Pat Gelsinger retired over the holiday weekend, leaving the tech giant with new leadership amid the pivotal AI transition.",2024-12-02,0.4019
2024-12-02 14:16:07+00:00,"Intel just ousted CEO Pat Gelsinger as it struggles to compete in the AI era Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
I Intel (INTC) announced Monday that chief executive officer Pat Gelsinger is retiring from the company and has stepped down from its board of directors.",2024-12-02,0.128
2024-12-02 14:52:39+00:00,"Intel CEO Pat Gelsinger pushed out following tumultuous tenure leading the chip giant Intel (INTC) announced Monday that CEO Pat Gelsinger retired effective Dec. 1 and stepped down from the company's board of directors. Gelsinger led aggressive efforts to turn around the troubled US c Intel CEO Pat Gelsinger retired over the holiday weekend, leaving the tech giant with new leadership amid the pivotal AI transition.",2024-12-02,0.296
2024-12-02 18:13:09+00:00,"Intel CEO Pat Gelsinger Retires, Co-CEOs Named Intel Corp. (INTC, Financials) announced that co-CEOs David Zinsner and Michelle Johnston Holthaus would succeed Pat Gelsinger, who will retire on Dec. 1. Gelsinger also left Intel's board. INTC stoc Intel CEO Pat Gelsinger has retired, effective Dec. 1.",2024-12-03,0.743
2024-12-02 19:07:32+00:00,"A record number of CEOs are heading for the exits — here's why The end of the holiday weekend added two fresh examples of a historic shift on Wall Street: More CEOs than ever are heading for the exits. Over the past 24 hours, the leaders of chipmaker Intel (INTC More exacting boards, a winner-take-all market, and higher capital costs are making it harder for CEOs to keep their jobs.",2024-12-03,0.6486
2024-12-03 11:00:20+00:00,"Pat Gelsinger and Carlos Tavares had the same big problem: Morning Brief This is The Takeaway from today's Morning Brief, which you can sign up to receive in your inbox every morning along with:
<ul><li>The chart of the day
</li><li>What we're watching
</li><li>What we So far, 2024 is pacing to have a record number of CEOs out of a job. This week, two big ones — from Intel and Stellantis — illustrated a key point: It's hard...",2024-12-03,-0.4215
2024-12-03 11:56:55+00:00,"Stock market today: S&P 500, Nasdaq futures hold just short of records with JOLTS on deck US stock futures drifted near all-time highs on Tuesday as investors waited for fresh jobs data and Fedspeak to cement or dent growing hopes for interest-rate cuts.
Futures on the S&amp;P 500 (ES=F) The focus is on JOLTS jobs data and Fedspeak to cement or dent growing hopes for interest-rate cuts.",2024-12-03,0.7096
2024-12-03 13:00:39+00:00,"AMD history: Beyond the Ticker Over the past five decades, Advanced Micro Devices, or AMD (AMD), has become a staple of the tech industry.
Let's take a closer look at the semiconductor company's biggest moments with Beyond the Ti Over the past five decades, Advanced Micro Devices, or AMD (AMD), has become a staple of the tech industry. Let's take a closer look at the semiconductor...",2024-12-03,0.4588
2024-12-03 14:35:48+00:00,"Stock market today: S&P 500, Nasdaq drift near record levels with JOLTS data on deck US stocks drifted near all-time highs on Tuesday as investors waited for fresh jobs data and Fedspeak to cement or dent growing hopes for future interest rate cuts.
The S&amp;P 500 (^GSPC) and the t The focus is on JOLTS jobs data and Fedspeak to cement or dent growing hopes for interest-rate cuts.",2024-12-03,0.836
2024-12-03 16:23:05+00:00,"Stock market today: Dow, S&P 500 slip after key jobs data shows surprise rebound in openings US stocks traded mixed on Tuesday as investors digested fresh jobs data and waited for new Fedspeak to cement or dent growing hopes for future interest rate cuts.
The S&amp;P 500 (^GSPC) fell about  The focus is on JOLTS jobs data and Fedspeak will cement or dent growing hopes for interest rate cuts.",2024-12-04,0.9186
2024-12-03 16:23:05+00:00,"Stock market today: Nasdaq drifts near records while S&P 500, Dow fall following key jobs data US stocks traded mixed on Tuesday as investors digested fresh jobs data and waited for new Fedspeak to cement or dent growing hopes for future interest rate cuts.
The S&amp;P 500 (^GSPC) fell about  The focus is on JOLTS jobs data and Fedspeak will cement or dent growing hopes for interest rate cuts.",2024-12-04,0.8979
