,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2024-01-31,60922.00000,16621.00000,44301.00000,8675.00000,2654.00000,,11329.00000,32972.00000,846.00000,33818.00000,4058.00000,29760.00000,29760.00000,29760.00000,34480.00000,32972.00000,24690.00000,24940.00000,1.20500,1.19300
2023-01-31,26974.00000,11618.00000,15356.00000,7339.00000,2440.00000,,11132.00000,4224.00000,-43.00000,4181.00000,-187.00000,4368.00000,4368.00000,4368.00000,5768.00000,4224.00000,24870.00000,25070.00000,0.17600,0.17400
2022-01-31,26914.00000,9439.00000,17475.00000,5268.00000,2166.00000,,7434.00000,10041.00000,-100.00000,9941.00000,189.00000,9752.00000,9752.00000,9752.00000,11215.00000,10041.00000,24960.00000,25350.00000,0.39100,0.38500
2021-01-31,16675.00000,6279.00000,10396.00000,3924.00000,1940.00000,,5864.00000,4532.00000,-123.00000,4409.00000,77.00000,4332.00000,4332.00000,4332.00000,5630.00000,4532.00000,24670.00000,25100.00000,0.17600,0.17300
2020-01-31,10918.00000,4150.00000,6768.00000,2829.00000,1093.00000,,3922.00000,2846.00000,124.00000,2970.00000,174.00000,2796.00000,2796.00000,2796.00000,3227.00000,2846.00000,24390.00000,24720.00000,0.11500,0.11300
2019-01-31,11716.00000,4545.00000,7171.00000,2376.00000,991.00000,,3367.00000,3804.00000,92.00000,3896.00000,-245.00000,4141.00000,4141.00000,4141.00000,4066.00000,3804.00000,24320.00000,25000.00000,0.17030,0.16580
2018-01-31,9714.00000,3892.00000,5822.00000,1797.00000,815.00000,,2612.00000,3210.00000,-14.00000,3196.00000,149.00000,3047.00000,3047.00000,3047.00000,3409.00000,3210.00000,23960.00000,25280.00000,0.12730,0.12050
2017-01-31,6910.00000,2847.00000,4063.00000,1463.00000,663.00000,,2129.00000,1934.00000,-29.00000,1905.00000,239.00000,1666.00000,1666.00000,1666.00000,2121.00000,1934.00000,21640.00000,25960.00000,0.07700,0.06430
2016-01-31,5010.00000,2199.00000,2811.00000,1331.00000,602.00000,,2064.00000,747.00000,-4.00000,743.00000,129.00000,614.00000,614.00000,614.00000,973.00000,747.00000,21720.00000,22760.00000,0.02830,0.02700
2015-01-31,4682.00000,2083.00000,2599.00000,1360.00000,480.00000,,1840.00000,759.00000,-4.00000,755.00000,124.00000,631.00000,631.00000,631.00000,1007.00000,759.00000,22080.00000,22520.00000,0.02850,0.02800
2014-01-31,4130.00000,1862.00000,2268.00000,1336.00000,436.00000,,1772.00000,496.00000,14.00000,510.00000,70.00000,440.00000,440.00000,440.00000,740.00000,496.00000,23520.00000,23800.00000,0.01880,0.01850
2013-01-31,4280.15900,2053.81600,2226.34300,1147.28200,430.82200,,1578.10400,648.23930,13.80000,662.03900,99.50300,562.53600,562.53600,562.53600,874.47420,648.23930,24772.96000,24998.28000,0.02280,0.02250
2012-01-31,3997.93000,1941.41300,2056.51700,1002.60500,405.61300,,1408.21800,648.29880,15.09700,663.39600,82.30600,581.09000,581.09000,581.09000,852.50380,648.29880,24145.84000,24654.84000,0.02400,0.02350
2011-01-31,3543.30900,2134.21900,1409.09000,848.83000,361.51300,57.00000,1153.34300,255.74710,15.42200,271.16900,18.02300,253.14600,253.14600,253.14600,442.73610,255.74710,23007.08000,23547.36000,0.01100,0.01080
2010-01-31,3326.44500,2149.52200,1176.92300,908.85100,367.01700,0.00000,1275.86800,-98.94510,16.65100,-82.29400,-14.30700,-67.98700,-67.98700,-67.98700,97.71890,-98.94510,21982.96000,21982.96000,-0.00300,-0.00300
2009-01-31,3424.85900,2250.59000,1174.26900,855.87900,362.22200,0.00000,1244.96900,-70.70020,27.74600,-42.95400,-12.91300,-30.04100,-30.04100,-30.04100,114.32280,-70.70020,21925.04000,21925.04000,-0.00130,-0.00130
